"airline","avail_seat_km_per_week","type","value","period"
"Aer Lingus",320906734,"incidents",2,"1985_1999"
"Aeroflot*",1197672318,"incidents",76,"1985_1999"
"Aerolineas Argentinas",385803648,"incidents",6,"1985_1999"
"Aeromexico*",596871813,"incidents",3,"1985_1999"
"Air Canada",1865253802,"incidents",2,"1985_1999"
"Air France",3004002661,"incidents",14,"1985_1999"
"Air India*",869253552,"incidents",2,"1985_1999"
"Air New Zealand*",710174817,"incidents",3,"1985_1999"
"Alaska Airlines*",965346773,"incidents",5,"1985_1999"
"Alitalia",698012498,"incidents",7,"1985_1999"
"All Nippon Airways",1841234177,"incidents",3,"1985_1999"
"American*",5228357340,"incidents",21,"1985_1999"
"Austrian Airlines",358239823,"incidents",1,"1985_1999"
"Avianca",396922563,"incidents",5,"1985_1999"
"British Airways*",3179760952,"incidents",4,"1985_1999"
"Cathay Pacific*",2582459303,"incidents",0,"1985_1999"
"China Airlines",813216487,"incidents",12,"1985_1999"
"Condor",417982610,"incidents",2,"1985_1999"
"COPA",550491507,"incidents",3,"1985_1999"
"Delta / Northwest*",6525658894,"incidents",24,"1985_1999"
"Egyptair",557699891,"incidents",8,"1985_1999"
"El Al",335448023,"incidents",1,"1985_1999"
"Ethiopian Airlines",488560643,"incidents",25,"1985_1999"
"Finnair",506464950,"incidents",1,"1985_1999"
"Garuda Indonesia",613356665,"incidents",10,"1985_1999"
"Gulf Air",301379762,"incidents",1,"1985_1999"
"Hawaiian Airlines",493877795,"incidents",0,"1985_1999"
"Iberia",1173203126,"incidents",4,"1985_1999"
"Japan Airlines",1574217531,"incidents",3,"1985_1999"
"Kenya Airways",277414794,"incidents",2,"1985_1999"
"KLM*",1874561773,"incidents",7,"1985_1999"
"Korean Air",1734522605,"incidents",12,"1985_1999"
"LAN Airlines",1001965891,"incidents",3,"1985_1999"
"Lufthansa*",3426529504,"incidents",6,"1985_1999"
"Malaysia Airlines",1039171244,"incidents",3,"1985_1999"
"Pakistan International",348563137,"incidents",8,"1985_1999"
"Philippine Airlines",413007158,"incidents",7,"1985_1999"
"Qantas*",1917428984,"incidents",1,"1985_1999"
"Royal Air Maroc",295705339,"incidents",5,"1985_1999"
"SAS*",682971852,"incidents",5,"1985_1999"
"Saudi Arabian",859673901,"incidents",7,"1985_1999"
"Singapore Airlines",2376857805,"incidents",2,"1985_1999"
"South African",651502442,"incidents",2,"1985_1999"
"Southwest Airlines",3276525770,"incidents",1,"1985_1999"
"Sri Lankan / AirLanka",325582976,"incidents",2,"1985_1999"
"SWISS*",792601299,"incidents",2,"1985_1999"
"TACA",259373346,"incidents",3,"1985_1999"
"TAM",1509195646,"incidents",8,"1985_1999"
"TAP - Air Portugal",619130754,"incidents",0,"1985_1999"
"Thai Airways",1702802250,"incidents",8,"1985_1999"
"Turkish Airlines",1946098294,"incidents",8,"1985_1999"
"United / Continental*",7139291291,"incidents",19,"1985_1999"
"US Airways / America West*",2455687887,"incidents",16,"1985_1999"
"Vietnam Airlines",625084918,"incidents",7,"1985_1999"
"Virgin Atlantic",1005248585,"incidents",1,"1985_1999"
"Xiamen Airlines",430462962,"incidents",9,"1985_1999"
"Aer Lingus",320906734,"fatal_accidents",0,"1985_1999"
"Aeroflot*",1197672318,"fatal_accidents",14,"1985_1999"
"Aerolineas Argentinas",385803648,"fatal_accidents",0,"1985_1999"
